,raceid,date,crewtype,racetype,file,number,teams,racename,distance,team,time,minutes,seconds,time_in_secs
0,0,2011-03-05,WHV,Final,RowData2011.csv,1,"['UCLA', 'LOMY']",UCLA vs. Loyola Marymount University,2000.0,UCLA,6:31.4,6,31.4,391.4
1,0,2011-03-05,WHV,Final,RowData2011.csv,2,"['UCLA', 'LOMY']",UCLA vs. Loyola Marymount University,2000.0,LOMY,7:04.0,7,4.0,424.0
2,1,2011-03-05,WHV,Final,RowData2011.csv,1,"['CLEM', 'NORT', 'EMIC']",Clemson vs. Northeastern and Eastern Michigan,2000.0,CLEM,6:54.1,6,54.1,414.1
3,1,2011-03-05,WHV,Final,RowData2011.csv,2,"['CLEM', 'NORT', 'EMIC']",Clemson vs. Northeastern and Eastern Michigan,2000.0,NORT,7:02.2,7,2.2,422.2
4,1,2011-03-05,WHV,Final,RowData2011.csv,3,"['CLEM', 'NORT', 'EMIC']",Clemson vs. Northeastern and Eastern Michigan,2000.0,EMIC,7:59.2,7,59.2,479.2
5,2,2011-03-05,WHV,Final,RowData2011.csv,1,"['MILL', 'PACL']",Mills vs. PLU,2000.0,MILL,8:38.5,8,38.5,518.5
6,2,2011-03-05,WHV,Final,RowData2011.csv,2,"['MILL', 'PACL']",Mills vs. PLU,2000.0,PACL,8:44.8,8,44.8,524.8
7,3,2011-03-05,MHV,Final,RowData2011.csv,1,"['UCLA', 'LOMY']",UCLA vs. LMU,2000.0,UCLA,6:07.8,6,7.8,367.8
8,3,2011-03-05,MHV,Final,RowData2011.csv,2,"['UCLA', 'LOMY']",UCLA vs. LMU,2000.0,LOMY,6:26.1,6,26.1,386.1
9,4,2011-03-05,WHV,Final,RowData2011.csv,1,"['DUQN', 'ROLL']",Metro Cup Regatta,1950.0,DUQN,7:41.0,7,41.0,461.0
10,4,2011-03-05,WHV,Final,RowData2011.csv,2,"['DUQN', 'ROLL']",Metro Cup Regatta,1950.0,ROLL,8:13.3,8,13.3,493.3
11,5,2011-03-05,MHV,Final,RowData2011.csv,1,"['VILN', 'ROLL', 'CFLA']",Metro Cup Regatta,1950.0,VILN,6:47.5,6,47.5,407.5
12,5,2011-03-05,MHV,Final,RowData2011.csv,2,"['VILN', 'ROLL', 'CFLA']",Metro Cup Regatta,1950.0,ROLL,6:54.1,6,54.1,414.1
13,5,2011-03-05,MHV,Final,RowData2011.csv,3,"['VILN', 'ROLL', 'CFLA']",Metro Cup Regatta,1950.0,CFLA,7:40.4,7,40.4,460.4
14,6,2011-03-05,MHN,Final,RowData2011.csv,1,"['ROLL', 'VILN', 'DUQN']",Metro Cup Regatta,1950.0,ROLL,7:04.6,7,4.6,424.6
15,6,2011-03-05,MHN,Final,RowData2011.csv,2,"['ROLL', 'VILN', 'DUQN']",Metro Cup Regatta,1950.0,VILN,7:30.6,7,30.6,450.6
16,6,2011-03-05,MHN,Final,RowData2011.csv,3,"['ROLL', 'VILN', 'DUQN']",Metro Cup Regatta,1950.0,DUQN,8:28.7,8,28.7,508.7
17,7,2011-03-05,MHV,Final,RowData2011.csv,1,"['TAMP', 'FLA', 'EMBR']",Florida Crew Classic,2000.0,TAMP,6:50.7,6,50.7,410.7
18,7,2011-03-05,MHV,Final,RowData2011.csv,2,"['TAMP', 'FLA', 'EMBR']",Florida Crew Classic,2000.0,FLA,6:52.9,6,52.9,412.9
19,7,2011-03-05,MHV,Final,RowData2011.csv,3,"['TAMP', 'FLA', 'EMBR']",Florida Crew Classic,2000.0,EMBR,7:10.8,7,10.8,430.8
20,8,2011-03-05,MHV,Final,RowData2011.csv,1,"['FLA', 'TAMP', 'EMBR']",Florida Crew Classic,2000.0,FLA,6:22.1,6,22.1,382.1
21,8,2011-03-05,MHV,Final,RowData2011.csv,2,"['FLA', 'TAMP', 'EMBR']",Florida Crew Classic,2000.0,TAMP,6:28.7,6,28.7,388.7
22,8,2011-03-05,MHV,Final,RowData2011.csv,3,"['FLA', 'TAMP', 'EMBR']",Florida Crew Classic,2000.0,EMBR,7:04.1,7,4.1,424.1
23,9,2011-03-05,MHN,Final,RowData2011.csv,1,"['FLA', 'EMBR']",Florida Crew Classic,2000.0,FLA,7:14.0,7,14.0,434.0
24,9,2011-03-05,MHN,Final,RowData2011.csv,2,"['FLA', 'EMBR']",Florida Crew Classic,2000.0,EMBR,7:34.9,7,34.9,454.9
25,10,2011-03-05,WHV,Final,RowData2011.csv,1,"['ORST', 'UVIC', 'UBC']",Desert Sprints/Elk Head Regatta,0.0,ORST,6:22.3,6,22.3,382.3
26,10,2011-03-05,WHV,Final,RowData2011.csv,2,"['ORST', 'UVIC', 'UBC']",Desert Sprints/Elk Head Regatta,0.0,UVIC,6:32.1,6,32.1,392.1
27,10,2011-03-05,WHV,Final,RowData2011.csv,3,"['ORST', 'UVIC', 'UBC']",Desert Sprints/Elk Head Regatta,0.0,UBC,6:43.5,6,43.5,403.5
28,11,2011-03-05,MHN,Final,RowData2011.csv,1,"['AZST', 'SDSU']",Desert Sprints/Elk Head Regatta,0.0,AZST,5:07.9,5,7.9,307.9
29,11,2011-03-05,MHN,Final,RowData2011.csv,2,"['AZST', 'SDSU']",Desert Sprints/Elk Head Regatta,0.0,SDSU,6:50.7,6,50.7,410.7
30,12,2011-03-05,MHV,Final,RowData2011.csv,1,"['AZST', 'SDSU']",Desert Sprints/Elk Head Regatta,0.0,AZST,5:00.0,5,0.0,300.0
31,12,2011-03-05,MHV,Final,RowData2011.csv,2,"['AZST', 'SDSU']",Desert Sprints/Elk Head Regatta,0.0,SDSU,5:13.7,5,13.7,313.7
32,13,2011-03-05,MHV,Final,RowData2011.csv,1,"['GATC', 'CLEM', 'VAND', 'UGA']",SERCS Regatta,0.0,GATC,6:36.1,6,36.1,396.1
33,13,2011-03-05,MHV,Final,RowData2011.csv,2,"['GATC', 'CLEM', 'VAND', 'UGA']",SERCS Regatta,0.0,CLEM,6:45.3,6,45.3,405.3
34,13,2011-03-05,MHV,Final,RowData2011.csv,3,"['GATC', 'CLEM', 'VAND', 'UGA']",SERCS Regatta,0.0,VAND,6:52.6,6,52.6,412.6
35,13,2011-03-05,MHV,Final,RowData2011.csv,4,"['GATC', 'CLEM', 'VAND', 'UGA']",SERCS Regatta,0.0,UGA,8:19.0,8,19.0,499.0
36,14,2011-03-05,WHV,Final,RowData2011.csv,1,"['GATC', 'CLEC', 'VAND', 'UCHR']",SERCS Regatta,0.0,GATC,7:39.9,7,39.9,459.9
37,14,2011-03-05,WHV,Final,RowData2011.csv,2,"['GATC', 'CLEC', 'VAND', 'UCHR']",SERCS Regatta,0.0,CLEC,7:52.3,7,52.3,472.3
38,14,2011-03-05,WHV,Final,RowData2011.csv,3,"['GATC', 'CLEC', 'VAND', 'UCHR']",SERCS Regatta,0.0,VAND,7:57.9,7,57.9,477.9
39,14,2011-03-05,WHV,Final,RowData2011.csv,4,"['GATC', 'CLEC', 'VAND', 'UCHR']",SERCS Regatta,0.0,UCHR,8:16.3,8,16.3,496.3
40,15,2011-03-05,MHN,Final,RowData2011.csv,1,"['GATC', 'VAND', 'CLEM', 'AUBN']",SERCS Regatta,0.0,GATC,6:45.1,6,45.1,405.1
41,15,2011-03-05,MHN,Final,RowData2011.csv,2,"['GATC', 'VAND', 'CLEM', 'AUBN']",SERCS Regatta,0.0,VAND,7:02.1,7,2.1,422.1
42,15,2011-03-05,MHN,Final,RowData2011.csv,3,"['GATC', 'VAND', 'CLEM', 'AUBN']",SERCS Regatta,0.0,CLEM,7:30.2,7,30.2,450.2
43,15,2011-03-05,MHN,Final,RowData2011.csv,4,"['GATC', 'VAND', 'CLEM', 'AUBN']",SERCS Regatta,0.0,AUBN,8:13.7,8,13.7,493.7
44,16,2011-03-05,WHJ,Final,RowData2011.csv,1,"['CLEM', 'NORT', 'EMIC']",Clemson vs. Northeastern and Eastern Michigan,2000.0,CLEM,7:05.7,7,5.7,425.7
45,16,2011-03-05,WHJ,Final,RowData2011.csv,2,"['CLEM', 'NORT', 'EMIC']",Clemson vs. Northeastern and Eastern Michigan,2000.0,NORT,7:10.0,7,10.0,430.0
46,16,2011-03-05,WHJ,Final,RowData2011.csv,3,"['CLEM', 'NORT', 'EMIC']",Clemson vs. Northeastern and Eastern Michigan,2000.0,EMIC,8:16.9,8,16.9,496.9
47,17,2011-03-05,MHV,Final,RowData2011.csv,1,"['UVIC', 'ORST', 'UBC']",Desert Sprints/Elk Head Regatta,0.0,UVIC,5:39.6,5,39.6,339.6
48,17,2011-03-05,MHV,Final,RowData2011.csv,2,"['UVIC', 'ORST', 'UBC']",Desert Sprints/Elk Head Regatta,0.0,ORST,5:44.5,5,44.5,344.5
49,17,2011-03-05,MHV,Final,RowData2011.csv,3,"['UVIC', 'ORST', 'UBC']",Desert Sprints/Elk Head Regatta,0.0,UBC,5:48.2,5,48.2,348.2
50,18,2011-03-06,MHN,Final,RowData2011.csv,1,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,STAN,6:35.7,6,35.7,395.7
51,18,2011-03-06,MHN,Final,RowData2011.csv,2,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,UCDV,7:03.6,7,3.6,423.6
52,18,2011-03-06,MHN,Final,RowData2011.csv,3,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,SCLA,7:22.6,7,22.6,442.6
53,19,2011-03-06,MHV,Final,RowData2011.csv,1,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,STAN,6:11.4,6,11.4,371.4
54,19,2011-03-06,MHV,Final,RowData2011.csv,2,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,UCDV,6:35.0,6,35.0,395.0
55,19,2011-03-06,MHV,Final,RowData2011.csv,3,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,SCLA,6:39.0,6,39.0,399.0
56,20,2011-03-06,MHJ,Final,RowData2011.csv,1,"['UCSB', 'UCIR']",Opening Day Alamitos Bay,2000.0,UCSB,7:04.3,7,4.3,424.3
57,20,2011-03-06,MHJ,Final,RowData2011.csv,2,"['UCSB', 'UCIR']",Opening Day Alamitos Bay,2000.0,UCIR,7:07.4,7,7.4,427.4
58,21,2011-03-06,MHJ,Final,RowData2011.csv,1,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,STAN,6:21.9,6,21.9,381.9
59,21,2011-03-06,MHJ,Final,RowData2011.csv,2,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,UCDV,6:50.8,6,50.8,410.8
60,21,2011-03-06,MHJ,Final,RowData2011.csv,3,"['STAN', 'UCDV', 'SCLA']",Davis Invitational,0.0,SCLA,6:58.9,6,58.9,418.9
61,22,2011-03-06,MHN,Final,RowData2011.csv,1,"['UCSB', 'CSLB', 'UCIR']",Opening Day Alamitos Bay,2000.0,UCSB,6:34.0,6,34.0,394.0
62,22,2011-03-06,MHN,Final,RowData2011.csv,2,"['UCSB', 'CSLB', 'UCIR']",Opening Day Alamitos Bay,2000.0,CSLB,6:50.4,6,50.4,410.4
63,22,2011-03-06,MHN,Final,RowData2011.csv,3,"['UCSB', 'CSLB', 'UCIR']",Opening Day Alamitos Bay,2000.0,UCIR,6:52.6,6,52.6,412.6
64,23,2011-03-06,MHV,Final,RowData2011.csv,1,"['UCIR', 'UCSB', 'CSLB']",Opening Day Alamitos Bay,2000.0,UCIR,6:17.3,6,17.3,377.3
