,team,race,idlag1,idlag2,idlag3,idlag4,idlag5
0,ALAB,10142,9859,9848,9458,9454,6470
0,ALAB,10143,10142,9859,9848,9458,9454
0,ALAB,10153,10143,10142,9859,9848,9458
0,ALAB,10154,10153,10143,10142,9859,9848
0,ALAB,10190,10154,10153,10143,10142,9859
0,ALAB,10194,10190,10154,10153,10143,10142
0,ALAB,10345,10194,10190,10154,10153,10143
0,ALAB,10365,10345,10194,10190,10154,10153
0,ALBY,6988,5704,5512,4532,4107,942
0,ALBY,7220,6988,5704,5512,4532,4107
0,ALBY,7292,7220,6988,5704,5512,4532
0,ALBY,8703,7292,7220,6988,5704,5512
0,ALBY,8880,8703,7292,7220,6988,5704
0,ALBY,8895,8880,8703,7292,7220,6988
0,ALBY,9861,8895,8880,8703,7292,7220
0,ALBY,9915,9861,8895,8880,8703,7292
0,ALBY,10737,9915,9861,8895,8880,8703
0,ALBY,11707,10737,9915,9861,8895,8880
0,ALBY,11711,11707,10737,9915,9861,8895
0,AMHR,9759,9728,8688,8544,7281,7081
0,AMHR,9924,9759,9728,8688,8544,7281
0,AMHR,10070,9924,9759,9728,8688,8544
0,AMHR,10570,10070,9924,9759,9728,8688
0,AMHR,10571,10570,10070,9924,9759,9728
0,AMHR,10755,10571,10570,10070,9924,9759
0,AMHR,10821,10755,10571,10570,10070,9924
0,AMHR,10890,10821,10755,10571,10570,10070
0,AMHR,10899,10890,10821,10755,10571,10570
0,AMHR,11587,10899,10890,10821,10755,10571
0,ARMY,5518,5491,4135,1305,836,393
0,ARMY,5641,5518,5491,4135,1305,836
0,ARMY,5710,5641,5518,5491,4135,1305
0,ARMY,5869,5710,5641,5518,5491,4135
0,ARMY,7276,5869,5710,5641,5518,5491
0,ARMY,7451,7276,5869,5710,5641,5518
0,ARMY,8879,7451,7276,5869,5710,5641
0,ARMY,8933,8879,7451,7276,5869,5710
0,ARMY,9165,8933,8879,7451,7276,5869
0,ARMY,9188,9165,8933,8879,7451,7276
0,ARMY,9203,9188,9165,8933,8879,7451
0,ARMY,9618,9203,9188,9165,8933,8879
0,ARMY,9626,9618,9203,9188,9165,8933
0,ARMY,9720,9626,9618,9203,9188,9165
0,ARMY,9731,9720,9626,9618,9203,9188
0,ARMY,9751,9731,9720,9626,9618,9203
0,ARMY,9834,9751,9731,9720,9626,9618
0,ARMY,9843,9834,9751,9731,9720,9626
0,ARMY,9902,9843,9834,9751,9731,9720
0,ARMY,9950,9902,9843,9834,9751,9731
0,ARMY,10065,9950,9902,9843,9834,9751
0,ARMY,10073,10065,9950,9902,9843,9834
0,ARMY,10098,10073,10065,9950,9902,9843
0,ARMY,10116,10098,10073,10065,9950,9902
0,ARMY,10189,10116,10098,10073,10065,9950
0,ARMY,10192,10189,10116,10098,10073,10065
0,ARMY,10195,10192,10189,10116,10098,10073
0,ARMY,10448,10195,10192,10189,10116,10098
0,ARMY,10454,10448,10195,10192,10189,10116
0,ARMY,10518,10454,10448,10195,10192,10189
0,ARMY,10579,10518,10454,10448,10195,10192
0,ARMY,10647,10579,10518,10454,10448,10195
0,ARMY,10668,10647,10579,10518,10454,10448
0,ARMY,10674,10668,10647,10579,10518,10454
0,ARMY,10891,10674,10668,10647,10579,10518
0,ARMY,10895,10891,10674,10668,10647,10579
0,ARMY,10933,10895,10891,10674,10668,10647
0,ARMY,10937,10933,10895,10891,10674,10668
0,ARMY,11472,10937,10933,10895,10891,10674
0,ARMY,11475,11472,10937,10933,10895,10891
0,ARMY,11505,11475,11472,10937,10933,10895
0,ARMY,11557,11505,11475,11472,10937,10933
0,ARMY,11585,11557,11505,11475,11472,10937
0,ARMY,11701,11585,11557,11505,11475,11472
0,ARMY,11711,11701,11585,11557,11505,11475
0,ARMY,11746,11711,11701,11585,11557,11505
0,ARMY,11750,11746,11711,11701,11585,11557
0,BATE,3852,3680,3544,1046,976,750
0,BATE,3921,3852,3680,3544,1046,976
0,BATE,3923,3921,3852,3680,3544,1046
0,BATE,4268,3923,3921,3852,3680,3544
0,BATE,5636,4268,3923,3921,3852,3680
0,BATE,5897,5636,4268,3923,3921,3852
0,BATE,5923,5897,5636,4268,3923,3921
0,BATE,7085,5923,5897,5636,4268,3923
0,BATE,7277,7085,5923,5897,5636,4268
0,BATE,7436,7277,7085,5923,5897,5636
0,BATE,8274,7436,7277,7085,5923,5897
0,BATE,8545,8274,7436,7277,7085,5923
0,BATE,8774,8545,8274,7436,7277,7085
0,BATE,8928,8774,8545,8274,7436,7277
0,BATE,9499,8928,8774,8545,8274,7436
0,BATE,9502,9499,8928,8774,8545,8274
0,BATE,9730,9502,9499,8928,8774,8545
0,BATE,9849,9730,9502,9499,8928,8774
0,BATE,9854,9849,9730,9502,9499,8928
0,BATE,9949,9854,9849,9730,9502,9499
0,BATE,9992,9949,9854,9849,9730,9502
0,BATE,10037,9992,9949,9854,9849,9730
0,BATE,10068,10037,9992,9949,9854,9849
0,BATE,10070,10068,10037,9992,9949,9854
0,BATE,10093,10070,10068,10037,9992,9949
0,BATE,10095,10093,10070,10068,10037,9992
0,BATE,10437,10095,10093,10070,10068,10037
0,BATE,10652,10437,10095,10093,10070,10068
0,BATE,10653,10652,10437,10095,10093,10070
0,BATE,10741,10653,10652,10437,10095,10093
0,BATE,10783,10741,10653,10652,10437,10095
0,BATE,10826,10783,10741,10653,10652,10437
0,BATE,10888,10826,10783,10741,10653,10652
0,BATE,10896,10888,10826,10783,10741,10653
