,Unnamed: 0,raceid,date,crewtype,racetype,file,number,teams,racename,distance,team,time,minutes,seconds,time_in_secs,race,idlag1,idlag2,idlag3,idlag4,idlag5,date_lag_1,racetype_lag_1,time_in_secs_lag_1,teams_lag_1,racename_lag_1,date_lag_2,racetype_lag_2,time_in_secs_lag_2,teams_lag_2,racename_lag_2,date_lag_3,racetype_lag_3,time_in_secs_lag_3,teams_lag_3,racename_lag_3,date_lag_4,racetype_lag_4,time_in_secs_lag_4,teams_lag_4,racename_lag_4,date_lag_5,racetype_lag_5,time_in_secs_lag_5,teams_lag_5,racename_lag_5,race_year,race_year_lag1,race_year_lag2,race_year_lag3,race_year_lag4,average_time,race_year_lag1.1,average_time_lag2,race_year_lag2.1,average_time_lag3,race_year_lag3.1,average_time_lag4,race_year_lag4.1,teams_in_race,days_off,race_month,average_time_lag1,mean_race_time_lag_1,median_race_time_lag_1,upto_date_lag_1,mean_race_time_lag_2,median_race_time_lag_2,upto_date_lag_2,mean_race_time_lag_3,median_race_time_lag_3,upto_date_lag_3,mean_race_time_lag_4,median_race_time_lag_4,upto_date_lag_4,mean_race_time_lag_5,median_race_time_lag_5,upto_date_lag_5
0,0,9371,2017-03-04,MHV,Final,RowData2017.csv,1,"['UCSD', 'UCDV', 'UCLA', 'UCIR', 'UCSB']",Henry Nicholas III - UC Challenge Cup,2000.0,UCSD,05:56.9,5,56.9,356.9,9371,9194,7880,7868,7663,5460,2016-05-14,Final,374.2,"['SCLA', 'OKC', 'UCSD', 'GONZ', 'USD']",Western Sprints,2016-03-11,Final,375.2,"['SCLA', 'UCSD', 'GONZ']",UCSD vs. Santa Clara and Gonzaga,2016-03-05,Final,351.4,"['UCSD', 'UCSB', 'UCIR', 'UCLA']",UC Challenge Cup,2015-05-16,Final,384.9,"['OKC', 'SCLA', 'USD', 'UCSD', 'GONZ']",Western Sprints,2014-04-12,Final,358.5,"['GW', 'UCSD']",George Washington Invitational - Saturday,2017,2016,2015,2014,2013,366.9333333333333,2016,384.9,2015,364.8,2014,372.35,2013,5,294,3,366.9333333333333,374.314161692892,370.6,2016-05-14,372.49667128987517,369.15,2016-03-11,372.3259831460675,369.0,2016-03-05,374.9004132231409,371.9,2015-05-16,374.3966053748235,371.4,2014-04-12
1,70,9418,2017-03-17,MHV,Final,RowData2017.csv,2,"['SCLA', 'USD', 'UCSD', 'GONZ']","UC San Diego vs. Gonzaga University, San",2000.0,USD,06:06.5,6,6.5,366.5,9418,9408,9194,7910,7663,7599,2017-03-12,Final,355.4,"['USD', 'OC', 'UCIR', 'UCSB', 'SDSU', 'UCLA', 'CSLB']",Newport Regatta,2016-05-14,Final,382.3,"['SCLA', 'OKC', 'UCSD', 'GONZ', 'USD']",Western Sprints,2016-03-12,Final,379.9,"['UCSB', 'OC', 'USD', 'UCIR', 'UCLA', 'SDSU', 'USC']",Newport Regatta,2015-05-16,Final,384.4,"['OKC', 'SCLA', 'USD', 'UCSD', 'GONZ']",Western Sprints,2015-05-09,Final,375.1,"['UCIR', 'UCSB', 'USD', 'OC', 'UCLA']",50th Newport Regatta,2017,2016,2015,2014,2013,381.1,2016,379.75,2015,364.7,2014,374.875,2013,4,5,3,381.1,373.8229789318964,370.3,2017-03-12,374.314161692892,370.6,2016-05-14,372.50692041522484,369.2,2016-03-12,374.9004132231409,371.9,2015-05-16,374.94322527015845,371.8,2015-05-09
2,507,9620,2017-04-02,MHV,Final,RowData2017.csv,3,"['CAL', 'YALE', 'STAN', 'UVIC', 'UCSB', 'MICH']",San Diego Crew Classic,2000.0,STAN,05:50.0,5,50.0,350.0,9620,9244,9033,7862,7826,7813,2016-05-16,Final,356.2,"['CAL', 'WASH', 'STAN', 'ORST', 'WAST', 'COLO']",PAC-12 Championship,2016-04-30,Final,349.8,"['CAL', 'STAN']",Big Row,2016-03-05,Final,345.5,"['STAN', 'ORST', 'GONZ']",Oregon St vs. Stanford & Gonzaga,2015-06-01,Final,356.0,"['DART', 'FLTC', 'WISC', 'HOBR', 'HC', 'STAN']",IRA National Championship - Finals,2015-05-31,Heat,367.4,"['YALE', 'BRWN', 'PENN', 'STAN', 'GW', 'SYRA']",IRA National Championship - Heats,2017,2016,2015,2014,2013,350.5,2016,356.6,2015,353.0,2014,344.4000000000001,2013,6,321,4,350.5,374.1232694355697,370.4,2016-05-16,374.1495765104462,370.3,2016-04-30,372.3259831460675,369.0,2016-03-05,372.6884670487107,369.55,2015-06-01,373.5902402402404,370.55,2015-05-31
3,248,9495,2017-03-25,MHV,Final,RowData2017.csv,1,"['FLTC', 'JAX']",FIT vs. Jacksonville University,2000.0,FLTC,06:21.6,6,21.6,381.6,9495,9195,9188,9161,7826,7812,2016-05-14,Heat,347.6,"['FLTC', 'TEMP', 'PURD', 'UNC', 'ITHA', 'MALW']",Dad Vail Regatta,2016-05-14,Final,355.4,"['FLTC', 'DREX', 'TEMP', 'MICH', 'ARMY', 'UVA']",Dad Vail Regatta,2016-05-13,Heat,359.0,"['FLTC', 'STJO', 'ITHA', 'GENS', 'JCAR']",Dad Vail Regatta,2015-06-01,Final,344.1,"['DART', 'FLTC', 'WISC', 'HOBR', 'HC', 'STAN']",IRA National Championship - Finals,2015-05-31,Heat,359.5,"['WASH', 'BU', 'NAVY', 'FLTC', 'ORST', 'SCLA']",IRA National Championship - Heats,2017,2016,2015,2014,2013,354.0,2016,350.2833333333333,2015,346.9,2014,358.125,2013,2,315,3,354.0,374.314161692892,370.6,2016-05-14,374.314161692892,370.6,2016-05-14,374.009921962096,370.2,2016-05-13,372.6884670487107,369.55,2015-06-01,373.5902402402404,370.55,2015-05-31
4,570,9703,2017-04-08,MHV,Final,RowData2017.csv,1,"['WASH', 'ORST']",Oregon State University vs. University o,2000.0,WASH,05:53.1,5,53.1,353.1,9703,9244,8877,8468,7831,7817,2016-05-16,Final,342.0,"['CAL', 'WASH', 'STAN', 'ORST', 'WAST', 'COLO']",PAC-12 Championship,2016-04-23,Final,327.8,"['CAL', 'WASH']",California vs. Washington,2016-04-09,Final,350.4,"['WASH', 'ORST']",Washington vs. Oregon State,2015-06-01,Final,328.0,"['WASH', 'CAL', 'PRIN', 'BRWN', 'HARV', 'NORT']",IRA National Championship - Finals,2015-05-31,Heat,332.7,"['WASH', 'HARV', 'NORT', 'YALE', 'CORN', 'COLU']",IRA National Championship - Heats,2017,2016,2015,2014,2013,340.06666666666666,2016,336.425,2015,343.76666666666665,2014,344.3,2013,2,327,4,340.06666666666666,374.1232694355697,370.4,2016-05-16,373.61971411554515,369.9,2016-04-23,373.4618654822336,370.0,2016-04-09,372.6884670487107,369.55,2015-06-01,373.5902402402404,370.55,2015-05-31
5,640,9870,2017-04-15,MHV,Final,RowData2017.csv,1,"['OKC', 'MARI', 'ND', 'PURD', 'JAX', 'STET']",SIRA Championship (Saturday),2000.0,OKC,06:15.1,6,15.1,375.1,9870,9848,9194,7909,7825,7811,2017-04-15,Heat,368.7,"['FLTC', 'UNC', 'ND', 'OKC', 'TEX', 'ALAB']",SIRA Championship (Saturday),2016-05-14,Final,374.0,"['SCLA', 'OKC', 'UCSD', 'GONZ', 'USD']",Western Sprints,2016-03-12,Final,369.0,"['OKC', 'WICH']",Opening Day Regatta,2015-06-01,Final,353.5,"['SYRA', 'DREX', 'ORST', 'GW', 'OKC', 'SCLA']",IRA National Championship - Finals,2015-05-31,Heat,382.7,"['CAL', 'HARV', 'COLU', 'WISC', 'HC', 'OKC']",IRA National Championship - Heats,2017,2016,2015,2014,2013,371.5,2016,367.04285714285714,2015,389.9666666666667,2014,382.8666666666666,2013,6,0,4,371.5,375.7254306808866,371.85,2017-04-15,374.314161692892,370.6,2016-05-14,372.50692041522484,369.2,2016-03-12,372.6884670487107,369.55,2015-06-01,373.5902402402404,370.55,2015-05-31
6,639,9848,2017-04-15,MHV,Heat,RowData2017.csv,4,"['FLTC', 'UNC', 'ND', 'OKC', 'TEX', 'ALAB']",SIRA Championship (Saturday),2000.0,OKC,06:08.7,6,8.7,368.7,9848,9194,7909,7825,7811,7793,2016-05-14,Final,374.0,"['SCLA', 'OKC', 'UCSD', 'GONZ', 'USD']",Western Sprints,2016-03-12,Final,369.0,"['OKC', 'WICH']",Opening Day Regatta,2015-06-01,Final,353.5,"['SYRA', 'DREX', 'ORST', 'GW', 'OKC', 'SCLA']",IRA National Championship - Finals,2015-05-31,Heat,382.7,"['CAL', 'HARV', 'COLU', 'WISC', 'HC', 'OKC']",IRA National Championship - Heats,2015-05-31,Heat,359.2,"['HOBR', 'FLTC', 'STAN', 'DREX', 'OKC', 'SCLA']",IRA National Championship - Heats,2017,2016,2015,2014,2013,371.5,2016,367.04285714285714,2015,389.9666666666667,2014,382.8666666666666,2013,6,336,4,371.5,374.314161692892,370.6,2016-05-14,372.50692041522484,369.2,2016-03-12,372.6884670487107,369.55,2015-06-01,373.5902402402404,370.55,2015-05-31,373.5902402402404,370.55,2015-05-31
7,69,9408,2017-03-12,MHV,Final,RowData2017.csv,1,"['USD', 'OC', 'UCIR', 'UCSB', 'SDSU', 'UCLA', 'CSLB']",Newport Regatta,2000.0,USD,05:55.4,5,55.4,355.4,9408,9194,7910,7663,7599,5088,2016-05-14,Final,382.3,"['SCLA', 'OKC', 'UCSD', 'GONZ', 'USD']",Western Sprints,2016-03-12,Final,379.9,"['UCSB', 'OC', 'USD', 'UCIR', 'UCLA', 'SDSU', 'USC']",Newport Regatta,2015-05-16,Final,384.4,"['OKC', 'SCLA', 'USD', 'UCSD', 'GONZ']",Western Sprints,2015-05-09,Final,375.1,"['UCIR', 'UCSB', 'USD', 'OC', 'UCLA']",50th Newport Regatta,2014-03-23,Final,364.7,"['USD', 'UCSB', 'UCIR', 'OC', 'UCLA', 'SDSU', 'USC']",Newport Regatta,2017,2016,2015,2014,2013,381.1,2016,379.75,2015,364.7,2014,374.875,2013,7,302,3,381.1,374.314161692892,370.6,2016-05-14,372.50692041522484,369.2,2016-03-12,374.9004132231409,371.9,2015-05-16,374.94322527015845,371.8,2015-05-09,374.70279069767474,372.2,2014-03-23
8,363,9734,2017-04-09,MHV,Heat,RowData2017.csv,1,"['VILN', 'CONN', 'PSU', 'HIPT']",The Knecht Cup,2000.0,VILN,06:18.1,6,18.1,378.1,9734,9505,7924,7376,6751,6450,2017-03-25,Heat,377.9,"['UVA', 'HC', 'URI', 'VILN', 'LAFA']",35th Murphy Cup,2016-03-12,Final,415.8,"['DREX', 'LASL', 'VILN']",Drexel vs LaSalle vs Villanova,2015-04-25,Final,367.1,"['DREX', 'TEMP', 'VILN', 'STJO', 'LASL']",Bergen Cup,2015-04-04,Final,412.0,"['VILN', 'FRMA']",Philadelphia vs. Univ of Charleston,2015-03-14,Final,341.0,"['DREX', 'VILN', 'LASL']",La Salle University vs. Drexel/Villanova,2017,2016,2015,2014,2013,415.8,2016,373.3666666666666,2015,375.3,2014,398.55,2013,4,15,4,415.8,374.167536782155,370.8,2017-03-25,372.50692041522484,369.2,2016-03-12,374.4947879858664,371.7,2015-04-25,374.8485626283372,371.65,2015-04-04,374.47964989059136,371.8,2015-03-14
9,145,9437,2017-03-18,MHV,Final,RowData2017.csv,1,"['LECL', 'ORGN']",Hagg Lake Invitational Regatta,2000.0,LECL,06:34.4,6,34.4,394.4,9437,8929,8478,7282,7005,6452,2016-04-24,Final,401.4,"['PUGS', 'WWAS', 'LECL']",Cascade Cup Regatta,2016-04-09,Final,392.0,"['PUGS', 'LECL']",Logger Invitational,2015-04-19,Final,398.0,"['WWAS', 'PUGS', 'LECL']",Cascades Cup,2015-04-11,Final,383.9,"['LECL', 'PUGS']",Logger Invitational,2015-03-14,Final,394.9,"['LECL', 'ORGN']",Hagg Lake Invitational,2017,2016,2015,2014,2013,396.7,2016,392.26666666666665,2015,433.3,2014,456.6,2013,2,328,3,396.7,374.0589072282301,370.3,2016-04-24,373.4618654822336,370.0,2016-04-09,374.2286359530269,371.4,2015-04-19,373.7781746031752,371.35,2015-04-11,374.47964989059136,371.8,2015-03-14
