RaceId,Date,CrewType,Distance,Team1,Time1,Team2,Time2,Team3,Time3,Team4,Time4,Team5,Time5,Team6,Time6,Team7,Time7,Team8,Time8,RaceType,RaceName
1,2014-02-22,MHV,0,SDSU, 5:17.3,USC, 5:30.1,CSLB, 5:30.1,,,,,,,,,,,Final,The Gruenberg Cup
2,2014-02-22,MLV,0,SDSU, 5:21.9,CSLB, 6:06.2,,,,,,,,,,,,,Final,The Gruenberg Cup
3,2014-03-01,WHV,0,CLEM, 6:55.5,EMIC, 7:33.0,,,,,,,,,,,,,Final,Clemson University vs. Eastern Michigan
4,2014-03-01,WHJ,0,CLEM, 7:08.5,EMIC, 8:25.1,,,,,,,,,,,,,Final,Clemson University vs. Eastern Michigan
5,2014-03-01,MHV,0,ROLL, 5:51.8,FLA, 6:06.4,,,,,,,,,,,,,Final,Metro Cup
6,2014-03-01,MHJ,0,ROLL, 6:05.0,FLA, 7:07.8,,,,,,,,,,,,,Final,Metro Cup
7,2014-03-01,WHV,0,CFLA, 6:27.4,ROLL, 6:53.3,FLA, 6:56.4,,,,,,,,,,,Final,Metro Cup
8,2014-03-01,MLV,0,SDSU, 6:24.0,UCSB, 6:39.7,CSLB, 7:08.8,,,,,,,,,,,Final,Southern California Opening Day Regatta
9,2014-03-01,WHJ,0,UCSD, 7:09.6,UCSB, 7:12.0,UCIR, 7:28.5,CSLB, 7:34.9,,,,,,,,,Final,Southern California Opening Day Regatta
10,2014-03-01,WHV,0,UCSB, 6:49.5,UCSD, 6:55.0,AZST, 7:42.5,CHAP, 8:59.7,,,,,,,,,Final,Southern California Opening Day Regatta
11,2014-03-01,MHJ,0,UCSD, 6:00.1,UCSB, 6:00.8,OC, 6:15.9,SDSU, 6:26.8,,,,,,,,,Final,Southern California Opening Day Regatta
12,2014-03-01,MHV,0,SDSU, 6:10.0,UCLA, 6:15.1,CSLB, 6:23.6,AZST, 6:42.0,,,,,,,,,Final,Southern California Opening Day Regatta
13,2014-03-01,MHV,0,UCSB, 5:54.2,OC, 5:56.6,UCSD, 6:02.1,USC, 6:41.4,,,,,,,,,Final,Southern California Opening Day Regatta
14,2014-03-01,MHV,1000,UCLA, 5:26.9,LOMY, 5:36.3,,,,,,,,,,,,,Final,UCLA vs. LMU
15,2014-03-02,WHV,0,UCDV, 7:34.7,SCLA, 7:36.2,MILL, 8:00.2,,,,,,,,,,,Final,Davis Invitational
16,2014-03-02,MHV,0,STAN, 6:13.3,SCLA, 6:36.6,UCDV, 6:49.8,,,,,,,,,,,Final,Davis Invitational
17,2014-03-08,WHV,2000,STJO, 6:57.8,DREX, 7:02.8,,,,,,,,,,,,,Final,Saint Joseph's vs. Drexel
18,2014-03-08,WHJ,2000,STJO, 7:08.3,DREX, 7:15.2,,,,,,,,,,,,,Final,Saint Joseph's vs. Drexel
19,2014-03-08,WHV,2000,STJO, 7:11.8,LASL, 7:17.6,DELA, 7:20.3,,,,,,,,,,,Final,Saint Joseph's vs. Drexel
20,2014-03-08,WHJ,2000,STJO, 7:20.5,DELA, 7:31.5,LASL, 8:00.6,,,,,,,,,,,Final,Saint Joseph's vs. Drexel
21,2014-03-08,WHV,2000,DELA, 7:05.3,LASL, 7:15.7,,,,,,,,,,,,,Final,Saint Joseph's vs. Drexel
22,2014-03-08,WHJ,2000,DELA, 7:15.9,LASL, 7:36.4,,,,,,,,,,,,,Final,Saint Joseph's vs. Drexel
23,2014-03-08,WHV,0,ORST, 6:39.7,UVIC, 6:44.8,GONZ, 6:46.3,,,,,,,,,,,Final,Oregon State/Gonzaga/UVic
24,2014-03-08,WHJ,0,ORST, 7:03.6,GONZ, 7:10.1,UVIC, 7:18.3,,,,,,,,,,,Final,Oregon State/Gonzaga/UVic
25,2014-03-08,WHV,0,GV, 6:41.8,JAX, 7:00.4,FLTC, 7:11.6,,,,,,,,,,,Final,Keuper Cup Women
26,2014-03-08,WHJ,0,GV, 7:08.4,JAX, 7:31.1,FLTC, 7:36.4,,,,,,,,,,,Final,Keuper Cup Women
27,2014-03-08,WHV,0,NORT, 6:33.2,CFLA, 6:44.3,,,,,,,,,,,,,Final,UCF vs. Northeastern
28,2014-03-08,WHJ,0,NORT, 6:43.0,CFLA, 6:55.1,,,,,,,,,,,,,Final,UCF vs. Northeastern
29,2014-03-08,MHV,1950,VILN, 5:48.1,ROLL, 5:48.9,EMBR, 6:04.3,,,,,,,,,,,Final,Spring Break Race
30,2014-03-08,MHJ,1950,ROLL, 5:57.4,VILN, 6:01.7,,,,,,,,,,,,,Final,Spring Break Race
31,2014-03-08,WHV,1950,NOVS, 6:27.3,DUQN, 6:28.7,VILN, 6:49.6,ROLL, 6:53.4,,,,,,,,,Final,Spring Break Race
32,2014-03-08,WHJ,1950,DUQN, 6:47.4,NOVS, 6:52.8,VILN, 7:05.3,,,,,,,,,,,Final,Spring Break Race
33,2014-03-08,WHV,0,STET, 8:23.7,HIPT, 8:57.8,,,,,,,,,,,,,Final,Stetson Spring Break Sprints
34,2014-03-08,MHV,0,SCLA, 6:20.0,SACS, 6:45.0,,,,,,,,,,,,,Final,Sacramento State vs. Santa Clara
35,2014-03-08,MHV,0,UCSB, 5:46.8,UCLA, 5:48.4,,,,,,,,,,,,,Final,UCLA vs. UCSB
36,2014-03-08,MHJ,0,UCSB, 5:56.4,UCLA, 5:58.6,,,,,,,,,,,,,Final,UCLA vs. UCSB
37,2014-03-08,MHV,0,UCSB, 6:29.9,LOMY, 6:47.8,USC, 7:06.9,,,,,,,,,,,Final,UCLA vs. UCSB
38,2014-03-08,MLV,0,UCSB, 6:57.4,LOMY, 7:18.5,,,,,,,,,,,,,Final,UCLA vs. UCSB
39,2014-03-08,MHV,0,FLTC, 5:54.5,GV, 6:00.7,JAX, 6:17.3,,,,,,,,,,,Final,Keuper Cup Men
40,2014-03-08,MHJ,0,FLTC, 6:05.8,JAX, 6:07.3,GV, 6:18.0,,,,,,,,,,,Final,Keuper Cup Men
41,2014-03-08,MHV,0,UVIC, 5:57.0,ORST, 6:02.0,GONZ, 6:11.9,,,,,,,,,,,Final,Oregon State/UVic/Gonzaga
42,2014-03-08,MHJ,0,ORST, 6:19.8,UVIC, 6:20.8,GONZ, 6:26.8,,,,,,,,,,,Final,Oregon State/UVic/Gonzaga
43,2014-03-12,MHV,0,TEX, 4:07.0,NWST, 4:37.0,,,,,,,,,,,,,Final,Northwestern St/Univ of Charleston/Texas
44,2014-03-12,WHV,0,NWST, 5:02.0,UCHR, 5:13.0,,,,,,,,,,,,,Final,Northwestern St/Univ of Charleston/Texas
45,2014-03-14,WHV,0,SMU, 7:02.5,CREI, 7:07.4,,,,,,,,,,,,,Final,SMU Invitational vs. Creighton
46,2014-03-14,WHJ,0,SMU, 7:10.4,CREI, 7:21.6,,,,,,,,,,,,,Final,SMU Invitational vs. Creighton
47,2014-03-14,WHV,0,FLTC, 8:06.0,ASSP, 8:57.0,,,,,,,,,,,,,Final,FIT v Assumption
48,2014-03-14,MHV,2000,SKID, 0:00.0,FRMA, 0:01.9,,,,,,,,,,,,,Final,Franklin & Marshall/North Park/Skidmore
49,2014-03-14,WHV,2000,FRMA, 7:15.4,NPRK, 8:05.3,,,,,,,,,,,,,Final,Franklin & Marshall/North Park/Skidmore
50,2014-03-14,MHV,0,GONZ, 6:08.3,SCLA, 6:26.4,,,,,,,,,,,,,Final,Gonzaga University vs. Santa Clara
51,2014-03-14,MHJ,0,UCSD, 6:22.7,GONZ, 6:30.7,SCLA, 6:56.2,,,,,,,,,,,Final,Gonzaga University vs. Santa Clara
52,2014-03-15,WHV,0,DAVS, 8:43.2,CCHR, 9:21.4,,,,,,,,,,,,,Final,Augusta Invitational
53,2014-03-15,MHV,0,CCHR, 7:24.5,STLO, 7:56.9,,,,,,,,,,,,,Final,Augusta Invitational
54,2014-03-15,WHV,0,UNC, 6:54.4,GMAS, 7:22.2,,,,,,,,,,,,,Final,North Carolina vs. George Mason
55,2014-03-15,WHJ,0,UNC, 7:13.9,GMAS, 7:33.7,,,,,,,,,,,,,Final,North Carolina vs. George Mason
56,2014-03-15,WHV,0,UCLA, 6:24.9,LOMY, 6:54.1,,,,,,,,,,,,,Final,UCLA vs. LMU
57,2014-03-15,WHJ,0,UCLA, 6:58.4,LOMY, 7:09.4,,,,,,,,,,,,,Final,UCLA vs. LMU
58,2014-03-15,WHV,2000,UPOR, 7:00.0,SEAT, 7:08.7,,,,,,,,,,,,,Final,SUUP Cup
59,2014-03-15,WHV,0,CLEM, 6:32.3,SYRA, 6:34.4,EMIC, 7:13.9,,,,,,,,,,,Final,Clemson/Syracuse/Eastern Michigan/BU Lwts
60,2014-03-15,WHJ,0,SYRA, 6:42.5,CLEM, 6:45.4,,,,,,,,,,,,,Final,Clemson/Syracuse/Eastern Michigan/BU Lwts
