RaceID,Date,CrewType,Distance,Team1,Time1,Team2,Time2,Team3,Time3,Team4,Time4,Team5,Time5,Team6,Time6,Team7,Time7,Team8,Time8,RaceType,RaceName
1,2018-02-24,MHV,2000,FLA,06:16.6,CFLA,06:21.8,UGA,06:23.4,FLST,06:38.0,,,,,,,,,Final,Duel in the Swamp
2,2018-02-24,WHV,1000,ALAB,03:41.9,EMIC,03:42.9,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
3,2018-02-24,WHV,1000,ALAB,03:47.0,EMIC,03:48.0,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
4,2018-02-24,WHV,1000,ALAB,03:47.1,EMIC,03:52.5,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
5,2018-02-24,WHV,1000,ALAB,03:49.2,EMIC,03:53.0,,,,,,,,,,,,,Final,University of Alabama vs. Eastern Michig
6,2018-02-24,WHV,2000,FLA,07:16.5,UGA,07:32.2,FLST,07:54.0,SFLA,08:02.8,,,,,,,,,Final,Duel in the Swamp
7,2018-03-03,MHV,1000,TEX,03:01.4,BAYL,03:21.7,,,,,,,,,,,,,Final,Heart of Texas (Saturday)
8,2018-03-03,MHV,1000,BAYL,03:22.0,LSU,03:26.2,RICE,03:28.8,TXAM,03:30.7,,,,,,,,,Heat,Heart of Texas (Saturday)
9,2018-03-03,MHV,1000,TEX,03:07.5,OKLA,03:28.5,TXAG,03:40.5,,,,,,,,,,,Heat,Heart of Texas (Saturday)
10,2018-03-03,MHV,2000,FLTC,05:54.1,EMBR,06:04.6,,,,,,,,,,,,,Final,ERAU and Florida Tech Dual
11,2018-03-03,MHV,2000,GATC,06:32.8,CLEM,06:40.5,UGA,06:50.8,,,,,,,,,,,Final,Clemson Crew Scrimmage
12,2018-03-03,MHV,2000,SDSU,06:13.9,CSLB,06:35.0,USC,06:39.4,,,,,,,,,,,Final,Gruenberg Cup
13,2018-03-03,MHV,2000,UCSB,05:59.2,UCSD,05:59.7,UCIR,06:02.8,UCLA,06:03.9,UCDV,06:07.9,,,,,,,Final,UC Challenge Cup
14,2018-03-03,WHV,1950,CFLA,06:33.2,ROLL,07:29.4,,,,,,,,,,,,,Final,"Metro Cup Regatta (Rollins, UCF)"
